dataset,accuracy,precision_weighted,recall_weighted,f1_score_weighted,precision_macro,recall_macro,f1_score_macro,cohen_kappa,weighted_clinical_error
train,0.9067192192192193,0.9115130974443892,0.9067192192192193,0.9063542467866991,0.8842301300878076,0.8690157186556868,0.8716546582464176,0.8106835417215779,0.09328078078078078
validation,0.9089316987740805,0.9133815837250652,0.9089316987740805,0.9087265141792588,0.8828150354768142,0.8729299100076435,0.8735585541223254,0.8222971457773423,0.09106830122591944
