number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
37,3.716621535752419,2025-10-24 01:53:03.563751,2025-10-24 01:53:28.659789,0 days 00:00:25.096038,0.6399081830761646,0.34851754244652006,0.03164059132680537,11,9,500,8.570633344014805e-08,0.007379976813791213,0.7998225669822472,COMPLETE
38,3.6958028136218033,2025-10-24 01:53:28.661819,2025-10-24 01:53:36.578574,0 days 00:00:07.916755,0.9015485395095386,0.8215635556803773,0.07804500221600191,8,9,255,3.1990981834792225e-08,0.0005585186981455856,0.8656632743856171,COMPLETE
39,3.793058626481213,2025-10-24 01:53:36.580401,2025-10-24 01:53:39.115763,0 days 00:00:02.535362,0.8532825777372042,0.3147029600792104,0.16018073819296105,3,9,261,2.2074502649271507e-08,2.725464083750553e-06,0.8711640681706166,COMPLETE
40,3.699393393501951,2025-10-24 01:53:39.117274,2025-10-24 01:53:46.206277,0 days 00:00:07.089003,0.8950310552012726,2.059070961841987,0.07913721097112929,8,9,230,8.832527176975778e-07,5.730811437766036e-05,0.9006395062540118,COMPLETE
41,3.7037059221570297,2025-10-24 01:53:46.208028,2025-10-24 01:53:52.119312,0 days 00:00:05.911284,0.8916663055455561,1.7763809221804268,0.06218277081647324,8,8,175,7.197615106439101e-07,5.2899291830461926e-05,0.9031838705037071,COMPLETE
42,3.6969908078999003,2025-10-24 01:53:52.120816,2025-10-24 01:53:57.720454,0 days 00:00:05.599638,0.9272662853057664,2.272460327763361,0.08730310696825892,7,10,240,2.6987338538498023e-06,0.0004597238173102326,0.8900920229372128,COMPLETE
43,3.6964807050639066,2025-10-24 01:53:57.722035,2025-10-24 01:54:03.091832,0 days 00:00:05.369797,0.8643795646350877,2.0104400419311816,0.07874841049127722,7,9,226,2.1146759598488244e-06,0.00047122707215382687,0.8987298210733338,COMPLETE
44,3.7337924011657364,2025-10-24 01:54:03.093475,2025-10-24 01:54:06.942197,0 days 00:00:03.848722,0.8649725785027069,1.3500042985240746,0.1518772519795885,6,9,197,2.77701432019504e-06,0.0008751849246208891,0.8568985713378209,COMPLETE
45,3.791443149535559,2025-10-24 01:54:06.943918,2025-10-24 01:54:10.874267,0 days 00:00:03.930349,0.7339643289218374,0.035484043556928635,0.21340551217149467,7,10,165,2.920840109609322e-08,0.00023891499147936918,0.8897592517147677,COMPLETE
46,3.7075211505153582,2025-10-24 01:54:10.875963,2025-10-24 01:54:17.856504,0 days 00:00:06.980541,0.936272921609504,1.5665824966700792,0.050136259903957356,7,10,297,9.984837371101858e-08,0.10808207336534065,0.9729088934979964,COMPLETE
47,3.736135735731998,2025-10-24 01:54:17.857996,2025-10-24 01:54:21.620295,0 days 00:00:03.762299,0.7716034869838907,1.978115661613611,0.08275565308366505,5,9,250,4.083078290657526e-08,0.00041203457817010286,0.9183964540403597,COMPLETE
48,3.8257904677619825,2025-10-24 01:54:21.622034,2025-10-24 01:54:23.475061,0 days 00:00:01.853027,0.8356223093537968,0.9782821893914629,0.10565896532720527,4,8,142,3.323359219811561e-06,0.007259011219296877,0.6437253505254096,COMPLETE
49,3.7411338754184777,2025-10-24 01:54:23.476570,2025-10-24 01:54:27.877547,0 days 00:00:04.400977,0.9018713125767885,0.42201187145365715,0.04493767687782354,6,10,227,2.2960527270745312e-07,0.00011435572416792251,0.7761025258482941,COMPLETE
50,3.6903087918204873,2025-10-24 01:54:27.879045,2025-10-24 01:54:34.869588,0 days 00:00:06.990543,0.9785739368257362,3.872542827831211,0.07076926142000407,7,9,295,0.279806688908171,0.022534234697182416,0.8809002892195199,COMPLETE
51,3.703185663390942,2025-10-24 01:54:34.871451,2025-10-24 01:54:40.148246,0 days 00:00:05.276795,0.9796748314686194,4.282671379129995,0.06495508233274973,7,9,212,0.08174935197534212,0.08189200214879676,0.8847743231137959,COMPLETE
52,3.7406862435137542,2025-10-24 01:54:40.149708,2025-10-24 01:54:45.129977,0 days 00:00:04.980269,0.8733560420817718,3.7972463096441484,0.1547278601298372,6,8,265,0.21219139342450963,0.022881043549305452,0.8500747005868182,COMPLETE
53,3.7613124019281186,2025-10-24 01:54:45.131474,2025-10-24 01:54:52.419602,0 days 00:00:07.288128,0.9811750875112314,4.69905820535014,0.19045670798203476,7,10,347,6.768566256466214,0.007764470600621957,0.9156656492019261,COMPLETE
54,3.7380917382880354,2025-10-24 01:54:52.421027,2025-10-24 01:54:55.600455,0 days 00:00:03.179428,0.9367055210489348,3.457526194893628,0.07416124846775266,8,9,82,2.2001186396056815,0.804832620676438,0.5341503889048508,COMPLETE
55,3.69110514660332,2025-10-24 01:54:55.601995,2025-10-24 01:55:02.771496,0 days 00:00:07.169501,0.9042840663557128,3.7196480107758036,0.058305383936872374,7,8,299,0.00015347640213562893,0.32688576720336004,0.8166465343968776,COMPLETE
56,3.696335984936141,2025-10-24 01:55:02.773167,2025-10-24 01:55:09.877957,0 days 00:00:07.104790,0.8806975060152495,3.92828012113152,0.05219294626387798,7,8,288,0.0003627167427068883,2.332367922156048,0.8266276425910094,COMPLETE
57,3.733270259836497,2025-10-24 01:55:09.879605,2025-10-24 01:55:16.588702,0 days 00:00:06.709097,0.5070587568226921,3.67715184429477,0.05461883311951622,7,9,304,0.00021045753983634362,1.6015531038573807,0.815738103617341,COMPLETE
58,3.726595538905348,2025-10-24 01:55:16.590454,2025-10-24 01:55:21.412269,0 days 00:00:04.821815,0.5997575339100196,4.062787363867202,0.09917990420020893,6,10,281,0.0004863381441873613,3.2665967572903813,0.813545110936957,COMPLETE
59,3.7549568614534463,2025-10-24 01:55:21.413996,2025-10-24 01:55:28.714708,0 days 00:00:07.300712,0.8779402826348408,4.5844623157804545,0.12563360795668288,8,8,242,0.0009317674503102892,0.4358059889584632,0.733706962244204,COMPLETE
60,3.7031878205395805,2025-10-24 01:55:28.716506,2025-10-24 01:55:36.697998,0 days 00:00:07.981492,0.8528937677618011,4.049892206268124,0.03509085608138654,7,9,333,7.089793623103303e-05,0.2918582927356232,0.780755262344338,COMPLETE
61,3.7314432928878363,2025-10-24 01:55:36.699672,2025-10-24 01:55:41.063893,0 days 00:00:04.364221,0.8998305788628206,4.933325730023563,0.06896287234267541,5,8,290,0.004023950185784079,2.4128625289476786,0.8371100077620325,COMPLETE
62,3.697368839056216,2025-10-24 01:55:41.065601,2025-10-24 01:55:49.789663,0 days 00:00:08.724062,0.9449598838680787,2.9055860014006036,0.05372728202722105,9,8,200,0.00940866472226468,0.08324086785026838,0.8821760886281287,COMPLETE
63,3.6933379329077525,2025-10-24 01:55:49.791430,2025-10-24 01:55:59.700144,0 days 00:00:09.908714,0.9445875068950121,2.6216353078020704,0.053011078649348106,9,6,198,0.019276772576223917,0.12891218813720934,0.8848315793736845,COMPLETE
64,3.763324603034099,2025-10-24 01:55:59.701751,2025-10-24 01:56:10.195843,0 days 00:00:10.494092,0.9654088356072006,2.653125676202121,0.1342991058527763,9,6,267,0.037116968000668535,0.21038626966450294,0.8506535892457903,COMPLETE
65,3.700821743357925,2025-10-24 01:56:10.197459,2025-10-24 01:56:17.117183,0 days 00:00:06.919724,0.9246623960041147,4.4381809363027624,0.09026696226835981,8,10,235,0.3180534646808207,1.1861789161307426,0.7590331531220613,COMPLETE
66,3.686339124798443,2025-10-24 01:56:17.118780,2025-10-24 01:56:26.625629,0 days 00:00:09.506849,0.9838686404926769,3.043454723872342,0.04587303933164051,8,9,312,3.277138266288881e-05,0.0396714281382703,0.8654613392610512,COMPLETE
67,3.687004181603599,2025-10-24 01:56:26.627314,2025-10-24 01:56:36.912074,0 days 00:00:10.284760,0.9850519383109917,2.984832402387693,0.04402421674357482,8,7,314,2.3856193707493273e-05,0.05714659782611118,0.8339932784530187,COMPLETE
